aX,aY,aZ,gX,gY,gZ
0.088,-0.086,0.930,-55.359,24.231,65.369
0.080,-0.077,0.955,-30.640,9.094,35.828
0.074,-0.077,0.956,-9.827,-5.859,10.864
0.072,-0.078,0.963,-2.136,-12.024,0.610
0.065,-0.081,0.969,-0.977,-13.245,-0.977
0.047,-0.079,1.024,-0.977,-11.536,-0.610
0.043,-0.071,1.027,-0.183,-5.249,-0.061
0.062,-0.077,0.989,0.549,3.418,0.122
0.071,-0.078,0.972,0.671,8.057,0.061
0.078,-0.075,0.951,0.732,8.789,0.122
0.086,-0.079,0.929,0.488,7.690,-0.183
0.089,-0.074,0.929,0.122,4.700,0.000
0.084,-0.075,0.946,-0.061,0.793,0.000
0.080,-0.077,0.956,-0.122,-1.648,-0.183
0.082,-0.076,0.945,-0.244,-2.380,-0.427
0.083,-0.076,0.945,-0.244,-3.845,-0.549
0.081,-0.076,0.946,-0.183,-5.859,-0.732
0.082,-0.079,0.941,-0.488,-7.568,-1.038
0.070,-0.075,0.958,-0.793,-9.705,-1.282
0.060,-0.086,0.993,-0.305,-10.620,-1.465
0.055,-0.072,1.003,-0.671,-8.057,-0.732
0.061,-0.074,0.980,-0.061,-3.052,-0.732
0.065,-0.080,0.955,0.122,-0.244,-1.099
0.071,-0.084,0.957,0.244,-0.305,-1.160
0.069,-0.084,0.950,0.000,-1.160,-0.671
0.074,-0.072,0.946,0.000,-2.380,-0.122
0.071,-0.079,0.947,0.061,-3.845,-0.183
0.078,-0.069,0.966,-0.122,-5.249,-0.488
0.073,-0.070,0.979,-0.244,-5.310,-0.122
0.068,-0.074,0.977,-0.061,-3.418,-0.183
0.066,-0.079,0.971,0.183,-1.099,-0.610
0.066,-0.083,0.965,0.244,-0.305,-0.427
0.070,-0.077,0.961,0.122,-0.366,0.000
0.070,-0.076,0.952,0.244,-0.549,0.000
0.068,-0.075,0.951,-0.122,-1.526,-0.122
0.066,-0.080,0.958,-0.305,-2.747,-0.366
0.070,-0.069,0.966,-0.183,-2.869,-0.061
0.069,-0.073,0.964,-0.183,-2.136,0.244
0.068,-0.073,0.963,0.061,-1.526,0.061
0.068,-0.077,0.965,0.122,-1.221,-0.183
0.069,-0.078,0.963,0.000,-1.099,0.061
0.073,-0.077,0.962,0.122,-1.160,0.061
0.075,-0.074,0.962,-0.122,-1.648,-0.122
0.072,-0.075,0.962,-0.244,-2.014,0.000
0.069,-0.075,0.963,-0.122,-1.831,-0.122
0.069,-0.075,0.963,-0.061,-1.526,-0.366
0.069,-0.076,0.958,0.061,-1.221,-0.122
0.068,-0.076,0.959,0.122,-1.343,0.000
0.068,-0.075,0.960,0.061,-1.343,-0.122
0.068,-0.076,0.962,-0.122,-1.526,-0.183
0.067,-0.076,0.966,0.122,-1.892,-0.244
0.069,-0.076,0.965,0.183,-1.770,-0.305
0.069,-0.077,0.967,0.122,-1.465,-0.305
0.070,-0.076,0.966,0.122,-1.404,-0.305
