aX,aY,aZ,gX,gY,gZ
0.038,-0.113,1.005,118.530,-54.504,-169.983
-0.012,-0.073,0.975,6.042,-1.465,-14.160
-0.018,-0.069,0.972,-10.010,3.540,11.353
-0.018,-0.078,0.966,-1.038,-0.732,1.587
-0.019,-0.077,0.965,-0.183,-1.099,0.000
-0.017,-0.075,0.973,-0.610,-0.916,-0.244
-0.013,-0.073,0.971,-0.549,-0.977,-0.244
-0.018,-0.074,0.961,-0.122,-1.526,-0.183
-0.018,-0.078,0.962,0.122,-1.343,-0.183
-0.018,-0.071,0.969,-0.977,-1.099,-0.244
-0.018,-0.073,0.962,-0.366,-1.282,-0.427
-0.018,-0.080,0.958,0.427,-1.160,-0.305
-0.016,-0.071,0.968,-0.610,-0.977,-0.122
-0.015,-0.069,0.967,-0.916,-1.282,-0.244
-0.016,-0.075,0.962,0.061,-1.404,-0.183
-0.015,-0.073,0.965,-0.305,-1.160,-0.122
-0.015,-0.071,0.969,-0.549,-1.099,-0.366
-0.014,-0.072,0.966,-0.366,-1.099,-0.244
-0.016,-0.073,0.962,-0.305,-1.099,-0.244
-0.016,-0.073,0.963,-0.305,-1.221,-0.244
-0.017,-0.071,0.963,-0.366,-1.160,-0.366
-0.017,-0.073,0.963,-0.122,-1.160,-0.305
-0.016,-0.074,0.964,-0.061,-1.099,-0.305
-0.017,-0.073,0.963,-0.183,-1.160,-0.366
-0.018,-0.074,0.965,-0.244,-1.282,-0.244
-0.016,-0.074,0.966,-0.244,-1.160,-0.122
-0.016,-0.075,0.966,-0.244,-1.099,-0.183
-0.016,-0.075,0.963,-0.122,-1.221,-0.305
-0.016,-0.074,0.966,-0.427,-1.038,-0.305
-0.016,-0.075,0.966,-0.244,-1.038,-0.305
-0.017,-0.076,0.961,0.000,-1.343,-0.305
-0.017,-0.075,0.963,-0.366,-1.099,-0.244
-0.016,-0.073,0.967,-0.549,-1.038,-0.244
-0.016,-0.074,0.963,-0.305,-1.221,-0.488
-0.016,-0.075,0.964,-0.122,-1.282,-0.244
-0.015,-0.072,0.966,-0.305,-1.282,-0.305
-0.016,-0.071,0.967,-0.305,-1.099,-0.183
-0.016,-0.072,0.965,-0.122,-1.038,-0.061
-0.016,-0.071,0.965,-0.427,-1.099,-0.244
-0.016,-0.071,0.965,-0.488,-1.099,-0.183
-0.017,-0.072,0.965,-0.488,-1.099,-0.183
-0.017,-0.074,0.964,-0.427,-0.977,-0.183
-0.017,-0.073,0.964,-0.366,-1.099,-0.183
-0.016,-0.073,0.964,-0.366,-1.160,-0.183
-0.016,-0.073,0.966,-0.305,-1.343,-0.366
-0.017,-0.074,0.966,-0.305,-1.343,-0.366
-0.016,-0.074,0.967,-0.427,-1.099,-0.305
-0.017,-0.074,0.967,-0.427,-1.099,-0.366
-0.016,-0.075,0.966,-0.244,-1.221,-0.183
-0.016,-0.075,0.966,-0.305,-1.221,-0.122
-0.018,-0.074,0.965,-0.122,-1.404,-0.305
-0.017,-0.074,0.965,-0.244,-1.160,-0.305
-0.017,-0.074,0.964,-0.305,-1.038,-0.305
-0.017,-0.074,0.964,-0.183,-1.038,-0.183
-0.017,-0.074,0.966,-0.183,-1.221,-0.244
-0.014,-0.073,0.968,-0.305,-1.160,-0.244
-0.015,-0.073,0.966,-0.244,-1.099,-0.366
-0.016,-0.074,0.967,-0.305,-1.038,-0.244
-0.016,-0.072,0.967,-0.488,-1.038,-0.305
-0.015,-0.073,0.967,-0.244,-1.221,-0.305
-0.017,-0.073,0.967,-0.183,-1.160,-0.305
-0.018,-0.074,0.965,-0.244,-1.282,-0.366
-0.017,-0.074,0.965,-0.122,-1.221,-0.305
-0.016,-0.073,0.966,-0.244,-1.099,-0.183
-0.017,-0.073,0.965,-0.427,-1.221,-0.183
-0.017,-0.074,0.966,-0.183,-1.343,-0.305
-0.016,-0.074,0.967,-0.244,-1.160,-0.488
-0.017,-0.074,0.966,-0.061,-1.160,-0.305
-0.017,-0.074,0.966,-0.122,-1.343,-0.488
-0.017,-0.074,0.968,-0.305,-1.343,-0.244
-0.016,-0.074,0.968,-0.427,-1.160,-0.305
-0.016,-0.075,0.967,-0.488,-1.221,-0.244
-0.016,-0.075,0.966,-0.488,-1.221,-0.244
-0.015,-0.074,0.966,-0.366,-1.343,-0.305
-0.016,-0.073,0.968,-0.183,-1.099,-0.305
-0.016,-0.073,0.966,-0.366,-1.099,-0.122
-0.016,-0.073,0.968,-0.427,-1.343,-0.183
-0.016,-0.072,0.969,-0.427,-1.282,-0.244
