aX,aY,aZ,gX,gY,gZ
0.109,-0.096,0.964,88.745,-40.100,-130.859
0.066,-0.091,0.946,1.160,1.892,-6.165
0.049,-0.086,0.972,-7.935,1.892,10.986
0.052,-0.092,0.967,-1.099,-1.160,1.343
0.060,-0.087,0.960,-0.977,0.305,0.061
0.063,-0.078,0.968,-1.587,-0.488,0.000
0.062,-0.088,0.973,0.061,-2.136,-0.183
0.056,-0.088,0.978,0.488,-2.747,-0.122
0.060,-0.086,0.971,-0.183,-1.831,0.061
0.063,-0.084,0.959,-0.732,-0.732,-0.183
0.061,-0.082,0.959,-0.488,-1.343,-0.366
0.059,-0.088,0.953,0.427,-1.831,-0.122
0.057,-0.087,0.956,0.244,-1.648,-0.122
0.059,-0.084,0.960,-0.610,-1.221,-0.122
0.062,-0.085,0.960,-0.427,-0.854,-0.183
0.063,-0.085,0.965,-0.183,-0.977,-0.305
0.062,-0.083,0.972,-0.305,-1.221,-0.305
0.062,-0.085,0.969,-0.122,-0.793,-0.183
0.063,-0.082,0.968,-0.305,-0.732,-0.305
0.062,-0.081,0.962,-0.488,-0.671,-0.427
0.060,-0.083,0.959,-0.244,-0.793,-0.122
0.058,-0.085,0.957,0.061,-1.343,-0.366
0.058,-0.085,0.957,-0.183,-1.221,-0.366
0.057,-0.086,0.957,-0.122,-1.465,-0.122
0.058,-0.088,0.959,-0.122,-1.465,-0.061
0.061,-0.087,0.962,-0.305,-1.587,-0.122
0.061,-0.088,0.969,-0.305,-1.831,-0.183
0.062,-0.088,0.967,-0.244,-1.587,-0.122
0.064,-0.086,0.967,-0.244,-1.465,-0.122
0.063,-0.085,0.965,-0.427,-1.282,-0.183
0.062,-0.085,0.963,-0.061,-1.343,-0.305
0.060,-0.086,0.960,-0.122,-1.160,-0.305
0.060,-0.084,0.960,-0.488,-0.977,-0.488
0.059,-0.085,0.959,-0.183,-1.038,-0.427
0.061,-0.084,0.962,-0.366,-1.038,-0.488
0.061,-0.083,0.962,-0.305,-0.977,-0.305
0.061,-0.083,0.964,-0.427,-1.160,-0.305
0.061,-0.085,0.965,-0.366,-1.099,-0.305
0.063,-0.084,0.964,-0.427,-1.099,-0.183
0.063,-0.084,0.965,-0.183,-1.404,-0.366
0.061,-0.086,0.963,-0.183,-1.404,-0.366
0.061,-0.086,0.961,-0.183,-1.526,-0.427
0.060,-0.085,0.961,-0.366,-1.526,-0.183
0.059,-0.086,0.960,-0.305,-1.404,-0.183
0.059,-0.086,0.960,-0.122,-1.465,-0.244
0.060,-0.086,0.962,-0.183,-1.465,-0.244
0.060,-0.086,0.965,-0.244,-1.526,-0.305
0.059,-0.086,0.967,-0.122,-1.343,-0.244
0.060,-0.086,0.966,-0.244,-1.099,-0.366
0.060,-0.086,0.967,-0.183,-1.221,-0.427
0.059,-0.085,0.965,-0.244,-1.160,-0.488
0.060,-0.085,0.965,-0.244,-0.916,-0.244
0.060,-0.083,0.961,-0.305,-0.977,-0.305
0.060,-0.084,0.960,-0.366,-1.160,-0.305
0.060,-0.083,0.959,-0.305,-1.099,-0.183
0.062,-0.085,0.964,-0.427,-1.221,-0.244
0.062,-0.084,0.964,-0.061,-1.160,-0.305
0.063,-0.085,0.965,-0.183,-1.282,-0.183
0.062,-0.086,0.967,-0.183,-1.343,-0.183
0.061,-0.086,0.968,-0.305,-1.587,-0.183
0.061,-0.086,0.966,-0.366,-1.526,-0.183
0.061,-0.085,0.964,-0.244,-1.343,-0.427
0.060,-0.084,0.963,-0.122,-1.160,-0.488
0.059,-0.085,0.962,-0.122,-1.404,-0.305
0.060,-0.084,0.962,-0.305,-1.160,-0.244
0.060,-0.085,0.963,-0.366,-1.160,-0.183
0.060,-0.086,0.965,-0.488,-1.099,-0.305
0.060,-0.086,0.965,-0.244,-1.282,-0.244
0.060,-0.085,0.967,-0.183,-1.221,-0.366
0.061,-0.085,0.967,-0.305,-1.038,-0.183
0.061,-0.086,0.966,-0.122,-1.160,-0.183
0.061,-0.084,0.967,-0.244,-1.099,-0.244
0.061,-0.085,0.964,-0.427,-1.343,-0.122
0.062,-0.085,0.962,-0.061,-1.160,-0.305
0.060,-0.084,0.963,-0.244,-1.221,-0.183
0.060,-0.084,0.962,-0.366,-1.282,-0.122
0.060,-0.084,0.963,-0.427,-1.404,-0.183
0.060,-0.084,0.965,-0.305,-1.282,-0.183
0.062,-0.085,0.968,-0.427,-1.221,-0.122
0.061,-0.084,0.967,-0.305,-1.343,-0.244
0.061,-0.085,0.969,-0.305,-1.282,-0.305
0.060,-0.086,0.968,-0.122,-1.221,-0.305
0.060,-0.086,0.966,-0.122,-1.038,-0.305
0.060,-0.086,0.966,-0.122,-1.038,-0.183
0.061,-0.087,0.965,-0.122,-1.221,-0.183
0.060,-0.086,0.963,-0.305,-1.221,-0.366
0.061,-0.085,0.964,-0.488,-1.160,-0.366
0.061,-0.084,0.966,-0.366,-1.160,-0.305
0.060,-0.085,0.966,-0.183,-1.404,-0.305
0.061,-0.084,0.967,-0.244,-1.221,-0.427
0.062,-0.083,0.968,-0.427,-1.221,-0.305
0.060,-0.084,0.968,-0.244,-1.526,-0.549
0.060,-0.084,0.966,-0.305,-1.404,-0.244
0.062,-0.083,0.966,-0.244,-1.404,-0.183
0.061,-0.083,0.966,-0.244,-1.282,-0.122
0.061,-0.085,0.966,-0.244,-1.526,-0.366
0.061,-0.085,0.964,-0.122,-1.404,-0.427
0.063,-0.086,0.965,-0.183,-1.465,-0.427
0.076,-0.041,0.958,-2.380,-0.732,-0.061
0.087,-0.080,0.969,-0.427,-0.793,-0.427
0.076,-0.073,0.964,1.526,-1.526,-0.916
0.071,-0.059,0.985,-2.136,-1.526,-0.549
0.055,-0.114,0.980,1.770,-1.343,-1.343
0.047,-0.108,0.972,1.770,-1.892,-0.610
0.056,-0.086,0.978,-1.648,-1.465,-0.244
0.060,-0.110,0.966,0.305,-0.916,-0.427
0.057,-0.117,0.978,0.671,-1.160,-0.122
0.065,-0.070,0.965,-2.136,-0.732,0.427
0.071,-0.093,0.965,-0.244,-1.038,-0.061
0.072,-0.096,0.951,0.916,-0.793,-0.427
0.063,-0.078,0.965,-1.587,-1.587,-0.305
0.052,-0.092,0.964,0.305,-1.770,-0.793
0.045,-0.106,0.967,0.610,-1.892,-0.488
0.051,-0.087,0.974,-0.916,-1.343,-0.366
0.058,-0.083,0.970,-0.732,-1.282,-0.671
0.054,-0.084,0.972,0.061,-1.221,-0.488
0.055,-0.079,0.975,-0.977,-1.221,-0.122
0.064,-0.078,0.960,-0.183,-1.038,-0.366
0.065,-0.079,0.970,-0.549,-1.221,-0.305
0.638,0.160,1.023,22.095,-7.141,39.795
0.097,0.120,1.065,-0.854,-2.930,-11.169
0.095,-0.201,0.948,35.217,7.996,-11.230
-0.082,-0.293,0.917,49.011,-4.028,-4.333
-0.147,-0.400,0.998,48.218,-14.893,10.254
-0.120,-0.344,0.982,50.232,-9.277,28.625
-0.334,-0.371,0.861,55.847,-18.677,52.307
-0.281,-0.420,0.875,49.438,-41.260,93.018
-0.052,-0.278,0.919,33.203,-42.847,120.972
-0.056,-0.201,0.929,22.461,-22.278,131.042
0.061,-0.036,1.099,17.578,-10.559,133.728
0.614,0.140,1.466,32.593,-18.005,130.920
0.495,0.114,1.446,87.524,-14.038,92.712
0.200,-0.095,1.516,148.682,0.610,38.818
0.105,0.057,1.576,220.581,21.118,12.268
0.356,-0.170,1.489,299.194,62.744,-27.405
0.900,-1.130,0.277,351.013,141.968,-79.651
-0.521,-0.471,0.295,335.083,175.903,-138.245
-0.071,-1.733,-0.046,276.794,55.054,-47.974
-0.372,-0.946,0.334,273.254,14.954,-17.212
0.071,-1.118,0.766,312.317,-105.530,73.669
-0.033,-0.945,0.790,376.892,-165.649,128.845
-0.178,-0.396,0.851,367.676,-113.770,152.344
-0.018,-0.162,0.704,291.687,-61.707,147.217
0.116,0.824,0.426,218.079,-47.180,114.624
0.133,1.113,0.626,106.689,-92.712,32.654
-0.291,-1.068,0.998,-3.723,-152.344,-56.335
-0.335,-0.220,1.337,-100.586,-114.990,-29.175
0.431,-0.519,1.529,-74.402,-40.161,-6.470
0.116,-1.048,0.869,-20.691,-14.832,-30.579
-0.051,-0.651,0.859,8.911,-34.485,-39.978
-0.111,-0.791,1.009,40.771,-41.870,-30.579
0.105,-0.978,1.060,67.444,-8.545,-16.357
0.091,-1.292,1.149,82.336,18.494,-6.104
-0.119,-1.429,0.868,65.857,47.546,18.738
-0.075,-1.012,0.811,26.306,69.092,69.275
-0.207,-0.882,0.770,11.902,88.806,86.426
-0.332,-0.748,0.728,7.568,106.506,89.966
-0.267,-0.807,0.708,17.273,120.056,83.313
0.046,-0.881,0.665,24.719,114.014,67.871
0.099,-0.870,0.642,-1.404,91.431,39.795
0.094,-0.995,0.689,-36.255,69.641,20.325
0.172,-1.047,0.679,-64.575,61.523,7.812
0.168,-1.088,0.614,-77.393,54.443,-7.690
0.069,-1.287,0.431,-71.106,47.241,-19.714
0.333,-1.434,0.151,-39.001,33.630,-27.283
0.214,-1.412,0.470,-56.946,18.982,-21.912
-0.039,-1.421,0.381,-99.792,25.269,-8.911
0.200,-1.035,0.479,-123.352,16.907,7.935
0.292,-0.959,0.573,-128.052,2.930,8.728
-0.055,-0.982,0.611,-111.267,-12.024,12.573
0.163,-0.918,0.635,-97.046,2.563,29.907
0.256,-0.849,0.505,-91.064,13.489,39.612
0.299,-0.897,0.480,-79.651,-10.986,39.856
0.280,-1.022,0.467,-58.838,-40.527,38.330
0.291,-0.989,0.365,-40.283,-58.655,37.354
0.251,-0.829,0.467,-18.433,-72.937,30.029
0.220,-0.846,0.511,7.263,-71.594,15.442
0.257,-0.917,0.523,16.602,-55.237,4.944
0.271,-1.046,0.402,10.254,-49.622,-0.732
0.297,-1.160,0.339,1.221,-65.063,-2.319
0.398,-1.289,0.359,-7.690,-84.900,0.610
0.409,-1.257,0.474,-17.700,-102.844,13.550
0.359,-1.090,0.635,-27.100,-109.070,35.583
0.269,-0.934,0.623,-33.813,-92.346,56.519
0.200,-0.832,0.576,-38.635,-65.552,73.181
0.135,-0.675,0.516,-37.354,-44.861,84.290
0.076,-0.510,0.495,-30.334,-33.691,89.050
0.039,-0.360,0.510,-26.489,-31.433,89.417
-0.006,-0.232,0.551,-27.039,-35.706,87.158
-0.097,-0.118,0.576,-29.907,-42.053,79.041
-0.150,-0.004,0.615,-27.527,-46.143,66.650
-0.184,0.040,0.671,-20.630,-50.171,51.453
-0.189,-0.006,0.743,-16.174,-55.725,36.560
-0.149,-0.078,0.828,-16.602,-61.401,24.231
-0.108,-0.143,0.934,-18.799,-64.575,16.724
-0.023,-0.170,1.026,-21.545,-58.960,16.968
-0.052,-0.192,1.031,-24.902,-52.307,26.245
-0.093,-0.198,1.029,-26.306,-38.452,40.344
-0.036,-0.132,1.043,-24.353,-23.376,50.110
-0.144,-0.082,1.052,-21.545,-17.883,59.631
-0.125,-0.033,1.042,-25.391,-7.385,67.139
-0.171,-0.022,1.000,-29.236,-5.127,65.857
-0.182,-0.032,0.981,-31.311,-7.935,52.795
-0.129,-0.055,0.955,-31.250,-12.817,33.813
-0.050,-0.108,0.947,-31.189,-19.409,17.029
0.002,-0.160,0.954,-30.945,-26.794,4.822
0.051,-0.218,0.977,-29.175,-31.128,-1.099
0.071,-0.273,0.991,-26.978,-30.273,0.732
0.077,-0.314,0.989,-25.269,-25.024,7.324
0.068,-0.324,0.987,-23.926,-17.212,15.259
0.041,-0.324,0.974,-22.766,-8.545,23.132
0.019,-0.328,0.957,-20.020,-0.427,27.283
0.014,-0.322,0.948,-16.907,3.479,25.024
0.017,-0.323,0.931,-16.663,2.014,18.860
0.033,-0.330,0.908,-17.822,-4.028,11.292
0.047,-0.336,0.901,-18.005,-9.521,3.784
0.074,-0.354,0.887,-16.052,-12.268,-0.793
0.101,-0.376,0.891,-12.695,-14.343,-0.916
0.122,-0.391,0.908,-9.155,-15.015,3.113
0.122,-0.394,0.926,-6.531,-13.794,10.376
0.096,-0.385,0.920,-5.249,-11.780,17.639
0.074,-0.369,0.906,-4.456,-9.216,22.095
0.070,-0.355,0.906,-4.761,-8.484,22.400
0.066,-0.342,0.910,-4.089,-9.827,20.142
0.065,-0.331,0.925,-1.770,-10.254,17.029
0.055,-0.327,0.946,2.075,-11.108,14.526
0.049,-0.316,0.961,6.348,-11.963,12.024
0.057,-0.291,0.987,10.498,-12.634,9.460
0.081,-0.264,1.008,12.634,-13.123,8.545
0.107,-0.227,1.032,12.146,-14.404,9.705
0.131,-0.186,1.059,10.132,-17.273,12.878
